posix_timestamp, elapsed_time, R_speed_command, L_speed_command, R_belt_speed, L_belt_speed, incline
1618722375.560000, 0.000045, 0.000000, 0.000000, 0, 0, 250
1618722376.099000, 0.008992, 0.000000, 0.000000, -1, -1, 0
1618722376.627000, 0.017835, 0.000000, 0.000000, 0, 0, 250
1618722377.145000, 0.026368, 0.000000, 0.000000, -1, -1, 0
1618722377.667000, 0.035163, 0.000000, 0.000000, 0, 0, 250
1618722378.179000, 0.043717, 0.000000, 0.000000, -1, -1, 0
1618722378.693000, 0.052284, 0.000000, 0.000000, 0, 0, 250
1618722379.203000, 0.060781, 0.000000, 0.000000, -1, -1, 0
1618722379.715000, 0.069315, 0.000000, 0.000000, 0, 0, 250
1618722380.227000, 0.077849, 0.000000, 0.000000, -1, -1, 0
1618722380.741000, 0.086417, 0.000000, 0.000000, 0, 0, 250
1618722381.254000, 0.094964, 0.000000, 0.000000, -1, -1, 0
1618722381.766000, 0.103501, 0.000000, 0.000000, 0, 0, 250
1618722382.280000, 0.112069, 0.000000, 0.000000, -1, -1, 0
1618722382.791000, 0.120590, 0.000000, 0.000000, 0, 0, 250
1618722383.307000, 0.129178, 0.000000, 0.000000, -1, -1, 0
1618722383.819000, 0.137715, 0.000000, 0.000000, 0, 0, 250
1618722384.332000, 0.146264, 0.000000, 0.000000, -1, -1, 0
1618722384.848000, 0.154857, 0.000000, 0.000000, 0, 0, 250
1618722385.362000, 0.163431, 0.000000, 0.000000, -1, -1, 0
1618722385.878000, 0.172023, 0.000000, 0.000000, 0, 0, 250
1618722386.394000, 0.180633, 0.000000, 0.000000, -1, -1, 0
1618722386.907000, 0.189184, 0.000000, 0.000000, 0, 0, 250
1618722387.419000, 0.197722, 0.000000, 0.000000, -1, -1, 0
1618722387.938000, 0.206360, 0.000000, 0.000000, 0, 0, 250
1618722388.450000, 0.214900, 0.000000, 0.000000, -1, -1, 0
1618722388.963000, 0.223441, 0.000000, 0.000000, 0, 0, 250
1618722389.480000, 0.232059, 0.000000, 0.000000, -1, -1, 0
1618722389.994000, 0.240624, 0.000000, 0.000000, 0, 0, 250
1618722390.498000, 0.249023, 0.000000, 0.000000, -1, -1, 0
1618722391.010000, 0.257564, 0.000000, 0.000000, 0, 0, 250
1618722391.521000, 0.266080, 0.000000, 0.000000, -1, -1, 0
