posix_timestamp, elapsed_time, R_speed_command, L_speed_command, R_belt_speed, L_belt_speed, incline
1618809821.255000, 0.000047, 0.000000, 0.000000, 0, 0, 250
1618809821.798000, 0.009072, 0.000000, 0.000000, -1, -1, 0
1618809822.323000, 0.017866, 0.000000, 0.000000, 0, 0, 250
1618809822.848000, 0.026457, 0.000000, 0.000000, -1, -1, 0
1618809823.369000, 0.035291, 0.000000, 0.000000, 0, 0, 250
1618809823.882000, 0.043871, 0.000000, 0.000000, -1, -1, 0
1618809824.398000, 0.052465, 0.000000, 0.000000, 0, 0, 250
1618809824.910000, 0.060985, 0.000000, 0.000000, -1, -1, 0
1618809825.423000, 0.069541, 0.000000, 0.000000, 0, 0, 250
1618809825.932000, 0.078028, 0.000000, 0.000000, -1, -1, 0
1618809826.437000, 0.086441, 0.000000, 0.000000, 0, 0, 250
1618809826.946000, 0.094925, 0.000000, 0.000000, -1, -1, 0
1618809827.459000, 0.103479, 0.000000, 0.000000, 0, 0, 250
1618809827.974000, 0.112051, 0.000000, 0.000000, -1, -1, 0
1618809828.485000, 0.120574, 0.000000, 0.000000, 0, 0, 250
1618809828.997000, 0.129110, 0.000000, 0.000000, -1, -1, 0
1618809829.511000, 0.137676, 0.000000, 0.000000, 0, 0, 250
1618809830.026000, 0.146258, 0.000000, 0.000000, -1, -1, 0
1618809830.539000, 0.154807, 0.000000, 0.000000, 0, 0, 250
1618809831.051000, 0.163341, 0.000000, 0.000000, -1, -1, 0
1618809831.564000, 0.171893, 0.000000, 0.000000, 0, 0, 250
1618809832.078000, 0.180460, 0.000000, 0.000000, -1, -1, 0
1618809832.594000, 0.189061, 0.000000, 0.000000, 0, 0, 250
1618809833.106000, 0.197601, 0.000000, 0.000000, -1, -1, 0
1618809833.619000, 0.206150, 0.000000, 0.000000, 0, 0, 250
1618809834.132000, 0.214687, 0.000000, 0.000000, -1, -1, 0
1618809834.643000, 0.223206, 0.000000, 0.000000, 0, 0, 250
1618809835.155000, 0.231744, 0.000000, 0.000000, -1, -1, 0
1618809835.668000, 0.240292, 0.000000, 0.000000, 0, 0, 250
1618809836.184000, 0.248896, 0.000000, 0.000000, -1, -1, 0
1618809836.697000, 0.257443, 0.000000, 0.000000, 0, 0, 250
1618809837.214000, 0.266058, 0.000000, 0.000000, -1, -1, 0
1618809837.728000, 0.274621, 0.000000, 0.000000, 0, 0, 250
1618809838.240000, 0.283167, 0.000000, 0.000000, -1, -1, 0
1618809838.751000, 0.291675, 0.000000, 0.000000, 0, 0, 250
1618809839.260000, 0.300172, 0.000000, 0.000000, -1, -1, 0
1618809839.771000, 0.308679, 0.000000, 0.000000, 0, 0, 250
1618809840.274000, 0.317065, 0.000000, 0.000000, -1, -1, 0
1618809840.785000, 0.325572, 0.000000, 0.000000, 0, 0, 250
1618809841.292000, 0.334030, 0.000000, 0.000000, -1, -1, 0
1618809841.799000, 0.342478, 0.000000, 0.000000, 0, 0, 250
1618809842.308000, 0.350952, 0.000000, 0.000000, -1, -1, 0
1618809842.811000, 0.359341, 0.000000, 0.000000, 0, 0, 250
1618809843.325000, 0.367905, 0.000000, 0.000000, -1, -1, 0
1618809843.835000, 0.376413, 0.000000, 0.000000, 0, 0, 250
1618809844.344000, 0.384887, 0.000000, 0.000000, -1, -1, 0
1618809844.852000, 0.393362, 0.000000, 0.000000, 0, 0, 250
1618809845.361000, 0.401836, 0.000000, 0.000000, -1, -1, 0
1618809845.868000, 0.410294, 0.000000, 0.000000, 0, 0, 250
1618809846.373000, 0.418701, 0.000000, 0.000000, -1, -1, 0
1618809846.881000, 0.427176, 0.000000, 0.000000, 0, 0, 250
1618809847.385000, 0.435581, 0.000000, 0.000000, -1, -1, 0
1618809847.904000, 0.444225, 0.000000, 0.000000, 0, 0, 250
1618809848.418000, 0.452795, 0.000000, 0.000000, -1, -1, 0
1618809848.934000, 0.461395, 0.000000, 0.000000, 0, 0, 250
1618809849.437000, 0.469783, 0.000000, 0.000000, -1, -1, 0
1618809849.953000, 0.478372, 0.000000, 0.000000, 0, 0, 250
1618809850.467000, 0.486951, 0.000000, 0.000000, -1, -1, 0
1618809850.972000, 0.495357, 0.000000, 0.000000, 0, 0, 250
1618809851.489000, 0.503980, 0.000000, 0.000000, -1, -1, 0
1618809852.003000, 0.512537, 0.000000, 0.000000, 0, 0, 250
1618809852.516000, 0.521089, 0.000000, 0.000000, -1, -1, 0
1618809853.035000, 0.529744, 0.000000, 0.000000, 0, 0, 250
1618809853.539000, 0.538139, 0.000000, 0.000000, -1, -1, 0
1618809854.055000, 0.546746, 0.000000, 0.000000, 0, 0, 250
1618809854.573000, 0.555373, 0.000000, 0.000000, -1, -1, 0
1618809855.084000, 0.563900, 0.000000, 0.000000, 0, 0, 250
1618809855.598000, 0.572458, 0.000000, 0.000000, -1, -1, 0
1618809856.115000, 0.581071, 0.000000, 0.000000, 0, 0, 250
1618809856.634000, 0.589720, 0.000000, 0.000000, -1, -1, 0
1618809857.140000, 0.598167, 0.000000, 0.000000, 0, 0, 250
1618809857.657000, 0.606777, 0.000000, 0.000000, -1, -1, 0
1618809858.160000, 0.615166, 0.000000, 0.000000, 0, 0, 250
1618809858.679000, 0.623809, 0.000000, 0.000000, -1, -1, 0
1618809859.194000, 0.632394, 0.000000, 0.000000, 0, 0, 250
1618809859.697000, 0.640775, 0.000000, 0.000000, -1, -1, 0
1618809860.216000, 0.649428, 0.000000, 0.000000, 0, 0, 250
1618809860.730000, 0.657992, 0.000000, 0.000000, -1, -1, 0
1618809861.244000, 0.666567, 0.000000, 0.000000, 0, 0, 250
1618809861.756000, 0.675091, 0.000000, 0.000000, -1, -1, 0
1618809862.275000, 0.683738, 0.000000, 0.000000, 0, 0, 250
1618809862.790000, 0.692329, 0.000000, 0.000000, -1, -1, 0
1618809863.295000, 0.700749, 0.000000, 0.000000, 0, 0, 250
1618809863.801000, 0.709179, 0.000000, 0.000000, -1, -1, 0
1618809864.320000, 0.717820, 0.000000, 0.000000, 0, 0, 250
1618809864.825000, 0.726250, 0.000000, 0.000000, -1, -1, 0
1618809865.330000, 0.734669, 0.000000, 0.000000, 0, 0, 250
1618809865.848000, 0.743289, 0.000000, 0.000000, -1, -1, 0
1618809866.363000, 0.751870, 0.000000, 0.000000, 0, 0, 250
1618809866.880000, 0.760495, 0.000000, 0.000000, -1, -1, 0
1618809867.399000, 0.769135, 0.000000, 0.000000, 0, 0, 250
1618809867.910000, 0.777664, 0.000000, 0.000000, -1, -1, 0
1618809868.428000, 0.786305, 0.000000, 0.000000, 0, 0, 250
1618809868.943000, 0.794880, 0.000000, 0.000000, -1, -1, 0
1618809869.457000, 0.803449, 0.000000, 0.000000, 0, 0, 250
1618809869.962000, 0.811855, 0.000000, 0.000000, -1, -1, 0
1618809870.468000, 0.820294, 0.000000, 0.000000, 0, 0, 250
1618809870.986000, 0.828919, 0.000000, 0.000000, -1, -1, 0
1618809871.502000, 0.837520, 0.000000, 0.000000, 0, 0, 250
1618809872.018000, 0.846121, 0.000000, 0.000000, -1, -1, 0
1618809872.531000, 0.854675, 0.000000, 0.000000, 0, 0, 250
1618809873.045000, 0.863246, 0.000000, 0.000000, -1, -1, 0
1618809873.550000, 0.871653, 0.000000, 0.000000, 0, 0, 250
1618809874.065000, 0.880240, 0.000000, 0.000000, -1, -1, 0
1618809874.582000, 0.888857, 0.000000, 0.000000, 0, 0, 250
1618809875.099000, 0.897469, 0.000000, 0.000000, -1, -1, 0
1618809875.604000, 0.905895, 0.000000, 0.000000, 0, 0, 250
1618809876.122000, 0.914533, 0.000000, 0.000000, -1, -1, 0
1618809876.626000, 0.922927, 0.000000, 0.000000, 0, 0, 250
1618809877.130000, 0.931331, 0.000000, 0.000000, -1, -1, 0
1618809877.634000, 0.939739, 0.000000, 0.000000, 0, 0, 250
1618809878.150000, 0.948319, 0.000000, 0.000000, -1, -1, 0
1618809878.662000, 0.956867, 0.000000, 0.000000, 0, 0, 250
1618809879.178000, 0.965466, 0.000000, 0.000000, -1, -1, 0
1618809879.691000, 0.974016, 0.000000, 0.000000, 0, 0, 250
1618809880.196000, 0.982432, 0.000000, 0.000000, -1, -1, 0
1618809880.711000, 0.991017, 0.000000, 0.000000, 0, 0, 250
1618809881.216000, 0.999424, 0.000000, 0.000000, -1, -1, 0
1618809881.731000, 1.008017, 1.100000, 1.100000, 0, 0, 250
1618809882.238000, 1.016461, 1.100000, 1.100000, -1, -1, 0
1618809882.756000, 1.025103, 1.100000, 1.100000, 0, 0, 250
1618809883.272000, 1.033694, 1.100000, 1.100000, -1, -1, 0
1618809883.790000, 1.042334, 1.100000, 1.100000, 0, 0, 250
1618809884.310000, 1.050992, 1.100000, 1.100000, -1, -1, 0
1618809884.827000, 1.059617, 1.100000, 1.100000, 0, 0, 250
1618809885.331000, 1.068008, 1.100000, 1.100000, -1, -1, 0
1618809885.844000, 1.076560, 1.100000, 1.100000, 0, 0, 250
1618809886.350000, 1.084993, 1.100000, 1.100000, -1, -1, 0
1618809886.862000, 1.093530, 1.100000, 1.100000, 0, 0, 250
1618809887.382000, 1.102190, 1.100000, 1.100000, -1, -1, 0
1618809887.901000, 1.110835, 1.100000, 1.100000, 0, 0, 250
1618809888.412000, 1.119366, 1.100000, 1.100000, -1, -1, 0
1618809888.928000, 1.127965, 1.100000, 1.100000, 0, 0, 250
1618809889.434000, 1.136396, 1.100000, 1.100000, -1, -1, 0
1618809889.948000, 1.144968, 1.100000, 1.100000, 0, 0, 250
1618809890.464000, 1.153567, 1.100000, 1.100000, -1, -1, 0
1618809890.979000, 1.162134, 1.100000, 1.100000, 0, 0, 250
1618809891.493000, 1.170710, 1.100000, 1.100000, -1, -1, 0
1618809892.011000, 1.179343, 1.100000, 1.100000, 0, 0, 250
1618809892.515000, 1.187754, 1.100000, 1.100000, -1, -1, 0
1618809893.032000, 1.196360, 1.100000, 1.100000, 0, 0, 250
1618809893.547000, 1.204950, 1.100000, 1.100000, -1, -1, 0
1618809894.060000, 1.213493, 1.100000, 1.100000, 0, 0, 250
1618809894.572000, 1.222034, 1.100000, 1.100000, -1, -1, 0
1618809895.079000, 1.230484, 1.100000, 1.100000, 0, 0, 250
1618809895.594000, 1.239067, 1.100000, 1.100000, -1, -1, 0
1618809896.107000, 1.247617, 1.100000, 1.100000, 0, 0, 250
1618809896.619000, 1.256150, 1.100000, 1.100000, -1, -1, 0
1618809897.133000, 1.264713, 1.100000, 1.100000, 0, 0, 250
1618809897.644000, 1.273231, 1.100000, 1.100000, -1, -1, 0
1618809898.156000, 1.281767, 1.100000, 1.100000, 0, 0, 250
1618809898.670000, 1.290320, 1.100000, 1.100000, -1, -1, 0
1618809899.183000, 1.298870, 1.100000, 1.100000, 0, 0, 250
1618809899.697000, 1.307435, 1.100000, 1.100000, -1, -1, 0
1618809900.209000, 1.315984, 1.100000, 1.100000, 0, 0, 250
1618809900.722000, 1.324533, 1.100000, 1.100000, -1, -1, 0
1618809901.238000, 1.333120, 1.100000, 1.100000, 0, 0, 250
1618809901.752000, 1.341686, 1.100000, 1.100000, -1, -1, 0
1618809902.265000, 1.350251, 1.100000, 1.100000, 0, 0, 250
1618809902.777000, 1.358784, 1.100000, 1.100000, -1, -1, 0
1618809903.291000, 1.367346, 1.100000, 1.100000, 0, 0, 250
1618809903.801000, 1.375841, 1.100000, 1.100000, -1, -1, 0
1618809904.314000, 1.384401, 1.100000, 1.100000, 0, 0, 250
1618809904.825000, 1.392913, 1.100000, 1.100000, -1, -1, 0
1618809905.341000, 1.401517, 1.100000, 1.100000, 0, 0, 250
1618809905.853000, 1.410036, 1.100000, 1.100000, -1, -1, 0
1618809906.364000, 1.418567, 1.100000, 1.100000, 0, 0, 250
1618809906.877000, 1.427103, 1.100000, 1.100000, -1, -1, 0
1618809907.390000, 1.435654, 1.100000, 1.100000, 0, 0, 250
1618809907.901000, 1.444169, 1.100000, 1.100000, -1, -1, 0
1618809908.413000, 1.452717, 1.100000, 1.100000, 0, 0, 250
1618809908.927000, 1.461276, 1.100000, 1.100000, -1, -1, 0
1618809909.441000, 1.469853, 1.100000, 1.100000, 0, 0, 250
1618809909.956000, 1.478421, 1.100000, 1.100000, -1, -1, 0
1618809910.467000, 1.486951, 1.100000, 1.100000, 0, 0, 250
1618809910.985000, 1.495570, 1.100000, 1.100000, -1, -1, 0
1618809911.500000, 1.504153, 1.100000, 1.100000, 0, 0, 250
1618809912.013000, 1.512703, 1.100000, 1.100000, -1, -1, 0
1618809912.527000, 1.521284, 1.100000, 1.100000, 0, 0, 250
1618809913.038000, 1.529793, 1.100000, 1.100000, -1, -1, 0
1618809913.551000, 1.538337, 1.100000, 1.100000, 0, 0, 250
1618809914.066000, 1.546933, 1.100000, 1.100000, -1, -1, 0
1618809914.577000, 1.555450, 1.100000, 1.100000, 0, 0, 250
1618809915.093000, 1.564051, 1.100000, 1.100000, -1, -1, 0
1618809915.605000, 1.572577, 1.100000, 1.100000, 0, 0, 250
1618809916.120000, 1.581154, 1.100000, 1.100000, -1, -1, 0
1618809916.630000, 1.589660, 1.100000, 1.100000, 0, 0, 250
1618809917.142000, 1.598200, 1.100000, 1.100000, -1, -1, 0
1618809917.657000, 1.606783, 1.100000, 1.100000, 0, 0, 250
1618809918.174000, 1.615401, 1.100000, 1.100000, -1, -1, 0
1618809918.679000, 1.623804, 1.100000, 1.100000, 0, 0, 250
1618809919.192000, 1.632353, 1.100000, 1.100000, -1, -1, 0
1618809919.694000, 1.640733, 1.100000, 1.100000, 0, 0, 250
1618809920.210000, 1.649322, 1.100000, 1.100000, -1, -1, 0
1618809920.725000, 1.657906, 1.100000, 1.100000, 0, 0, 250
1618809921.237000, 1.666439, 1.100000, 1.100000, -1, -1, 0
1618809921.749000, 1.674973, 1.100000, 1.100000, 0, 0, 250
1618809922.252000, 1.683355, 1.100000, 1.100000, -1, -1, 0
1618809922.764000, 1.691887, 1.100000, 1.100000, 0, 0, 250
1618809923.272000, 1.700353, 1.100000, 1.100000, -1, -1, 0
1618809923.782000, 1.708867, 1.100000, 1.100000, 0, 0, 250
1618809924.292000, 1.717368, 1.100000, 1.100000, -1, -1, 0
1618809924.807000, 1.725944, 1.100000, 1.100000, 0, 0, 250
1618809925.317000, 1.734440, 1.100000, 1.100000, -1, -1, 0
1618809925.830000, 1.742987, 1.100000, 1.100000, 0, 0, 250
1618809926.343000, 1.751550, 1.100000, 1.100000, -1, -1, 0
1618809926.856000, 1.760100, 1.100000, 1.100000, 0, 0, 250
1618809927.370000, 1.768667, 1.100000, 1.100000, -1, -1, 0
1618809927.880000, 1.777153, 1.100000, 1.100000, 0, 0, 250
1618809928.395000, 1.785751, 1.100000, 1.100000, -1, -1, 0
1618809928.910000, 1.794329, 1.100000, 1.100000, 0, 0, 250
1618809929.424000, 1.802884, 1.100000, 1.100000, -1, -1, 0
1618809929.937000, 1.811450, 1.100000, 1.100000, 0, 0, 250
1618809930.448000, 1.819956, 1.100000, 1.100000, -1, -1, 0
1618809930.964000, 1.828559, 1.100000, 1.100000, 0, 0, 250
1618809931.477000, 1.837117, 1.100000, 1.100000, -1, -1, 0
1618809931.989000, 1.845649, 1.100000, 1.100000, 0, 0, 250
1618809932.500000, 1.854167, 1.100000, 1.100000, -1, -1, 0
1618809933.012000, 1.862694, 1.100000, 1.100000, 0, 0, 250
1618809933.525000, 1.871236, 1.100000, 1.100000, -1, -1, 0
1618809934.035000, 1.879751, 1.100000, 1.100000, 0, 0, 250
1618809934.548000, 1.888287, 1.100000, 1.100000, -1, -1, 0
1618809935.060000, 1.896834, 1.100000, 1.100000, 0, 0, 250
1618809935.570000, 1.905334, 1.100000, 1.100000, -1, -1, 0
1618809936.083000, 1.913881, 1.100000, 1.100000, 0, 0, 250
1618809936.595000, 1.922418, 1.100000, 1.100000, -1, -1, 0
1618809937.098000, 1.930798, 1.100000, 1.100000, 0, 0, 250
1618809937.604000, 1.939226, 1.100000, 1.100000, -1, -1, 0
1618809938.109000, 1.947645, 1.100000, 1.100000, 0, 0, 250
1618809938.627000, 1.956280, 1.100000, 1.100000, -1, -1, 0
1618809939.145000, 1.964910, 1.100000, 1.100000, 0, 0, 250
1618809939.649000, 1.973309, 1.100000, 1.100000, -1, -1, 0
1618809940.157000, 1.981784, 1.100000, 1.100000, 0, 0, 250
1618809940.663000, 1.990208, 1.100000, 1.100000, -1, -1, 0
1618809941.174000, 1.998721, 1.100000, 1.100000, 0, 0, 250
1618809941.684000, 2.007221, 1.100000, 1.100000, -1, -1, 0
1618809942.198000, 2.015801, 1.100000, 1.100000, 1100, 1100, 250
1618809942.710000, 2.024324, 1.100000, 1.100000, -1, -1, 0
1618809943.223000, 2.032883, 1.100000, 1.100000, 1100, 1100, 250
1618809943.737000, 2.041450, 1.100000, 1.100000, -1, -1, 0
1618809944.247000, 2.049950, 1.100000, 1.100000, 1100, 1100, 250
1618809944.761000, 2.058517, 1.100000, 1.100000, -1, -1, 0
1618809945.276000, 2.067100, 1.100000, 1.100000, 1100, 1100, 250
1618809945.793000, 2.075718, 1.100000, 1.100000, -1, -1, 0
1618809946.302000, 2.084200, 1.100000, 1.100000, 1100, 1100, 250
1618809946.806000, 2.092585, 1.100000, 1.100000, -1, -1, 0
1618809947.317000, 2.101103, 1.100000, 1.100000, 1100, 1100, 250
1618809947.830000, 2.109664, 1.100000, 1.100000, -1, -1, 0
1618809948.341000, 2.118184, 1.100000, 1.100000, 1100, 1100, 250
1618809948.854000, 2.126720, 1.100000, 1.100000, -1, -1, 0
1618809949.369000, 2.135304, 1.100000, 1.100000, 1100, 1100, 250
1618809949.884000, 2.143885, 1.100000, 1.100000, -1, -1, 0
1618809950.398000, 2.152460, 1.100000, 1.100000, 1100, 1100, 250
1618809950.911000, 2.161014, 1.100000, 1.100000, -1, -1, 0
1618809951.424000, 2.169561, 1.100000, 1.100000, 1100, 1100, 250
1618809951.936000, 2.178098, 1.100000, 1.100000, -1, -1, 0
1618809952.450000, 2.186668, 1.100000, 1.100000, 1100, 1100, 250
1618809952.964000, 2.195226, 1.100000, 1.100000, -1, -1, 0
1618809953.478000, 2.203801, 1.100000, 1.100000, 1100, 1100, 250
1618809953.981000, 2.212180, 1.100000, 1.100000, -1, -1, 0
1618809954.488000, 2.220634, 1.100000, 1.100000, 1100, 1100, 250
1618809954.991000, 2.229015, 1.100000, 1.100000, -1, -1, 0
1618809955.503000, 2.237550, 1.100000, 1.100000, 1100, 1100, 250
1618809956.018000, 2.246133, 1.100000, 1.100000, -1, -1, 0
1618809956.534000, 2.254718, 1.100000, 1.100000, 1100, 1100, 250
1618809957.048000, 2.263300, 1.100000, 1.100000, -1, -1, 0
1618809957.558000, 2.271800, 1.100000, 1.100000, 1100, 1100, 250
1618809958.068000, 2.280301, 1.100000, 1.100000, -1, -1, 0
1618809958.580000, 2.288820, 1.100000, 1.100000, 1100, 1100, 250
1618809959.094000, 2.297392, 1.100000, 1.100000, -1, -1, 0
1618809959.605000, 2.305904, 1.100000, 1.100000, 1100, 1100, 250
1618809960.117000, 2.314450, 1.100000, 1.100000, -1, -1, 0
1618809960.632000, 2.323035, 1.100000, 1.100000, 1100, 1100, 250
1618809961.147000, 2.331604, 1.100000, 1.100000, -1, -1, 0
1618809961.662000, 2.340198, 1.100000, 1.100000, 1100, 1100, 250
1618809962.172000, 2.348699, 1.100000, 1.100000, -1, -1, 0
1618809962.687000, 2.357278, 1.100000, 1.100000, 1100, 1100, 250
1618809963.200000, 2.365834, 1.100000, 1.100000, -1, -1, 0
1618809963.714000, 2.374401, 1.100000, 1.100000, 1100, 1100, 250
1618809964.228000, 2.382957, 1.100000, 1.100000, -1, -1, 0
1618809964.738000, 2.391467, 1.100000, 1.100000, 1100, 1100, 250
1618809965.253000, 2.400036, 1.100000, 1.100000, -1, -1, 0
1618809965.769000, 2.408651, 1.100000, 1.100000, 1100, 1100, 250
1618809966.281000, 2.417184, 1.100000, 1.100000, -1, -1, 0
1618809966.795000, 2.425740, 1.100000, 1.100000, 1100, 1100, 250
1618809967.308000, 2.434301, 1.100000, 1.100000, -1, -1, 0
1618809967.820000, 2.442826, 1.100000, 1.100000, 1100, 1100, 250
1618809968.334000, 2.451387, 1.100000, 1.100000, -1, -1, 0
1618809968.846000, 2.459934, 1.100000, 1.100000, 1100, 1100, 250
1618809969.364000, 2.468554, 1.100000, 1.100000, -1, -1, 0
1618809969.874000, 2.477068, 1.100000, 1.100000, 1100, 1100, 250
1618809970.392000, 2.485687, 1.100000, 1.100000, -1, -1, 0
1618809970.904000, 2.494225, 1.100000, 1.100000, 1100, 1100, 250
1618809971.418000, 2.502801, 1.600000, 1.600000, -1, -1, 0
1618809971.933000, 2.511371, 1.600000, 1.600000, 1100, 1100, 250
1618809972.445000, 2.519917, 1.600000, 1.600000, -1, -1, 0
1618809972.960000, 2.528501, 1.600000, 1.600000, 1100, 1100, 250
1618809973.463000, 2.536880, 1.600000, 1.600000, -1, -1, 0
1618809973.976000, 2.545424, 1.600000, 1.600000, 1100, 1100, 250
1618809974.491000, 2.554002, 1.600000, 1.600000, -1, -1, 0
1618809975.006000, 2.562601, 1.600000, 1.600000, 1100, 1100, 250
1618809975.519000, 2.571147, 1.600000, 1.600000, -1, -1, 0
1618809976.030000, 2.579662, 1.600000, 1.600000, 1100, 1100, 250
1618809976.547000, 2.588276, 1.600000, 1.600000, -1, -1, 0
1618809977.058000, 2.596793, 1.600000, 1.600000, 1100, 1100, 250
1618809977.571000, 2.605350, 1.600000, 1.600000, -1, -1, 0
1618809978.084000, 2.613901, 1.600000, 1.600000, 1100, 1100, 250
1618809978.597000, 2.622451, 1.600000, 1.600000, -1, -1, 0
1618809979.110000, 2.630998, 1.600000, 1.600000, 1100, 1100, 250
1618809979.624000, 2.639564, 1.600000, 1.600000, -1, -1, 0
1618809980.142000, 2.648187, 1.600000, 1.600000, 1100, 1100, 250
1618809980.655000, 2.656737, 1.600000, 1.600000, -1, -1, 0
1618809981.166000, 2.665268, 1.600000, 1.600000, 1100, 1100, 250
1618809981.681000, 2.673850, 1.600000, 1.600000, -1, -1, 0
1618809982.185000, 2.682239, 1.600000, 1.600000, 1100, 1100, 250
1618809982.701000, 2.690851, 1.600000, 1.600000, -1, -1, 0
1618809983.206000, 2.699255, 1.600000, 1.600000, 1100, 1100, 250
1618809983.721000, 2.707846, 1.600000, 1.600000, -1, -1, 0
1618809984.236000, 2.716418, 1.600000, 1.600000, 1100, 1100, 250
1618809984.749000, 2.724977, 1.600000, 1.600000, -1, -1, 0
1618809985.264000, 2.733566, 1.600000, 1.600000, 1100, 1100, 250
1618809985.781000, 2.742184, 1.600000, 1.600000, -1, -1, 0
1618809986.294000, 2.750725, 1.600000, 1.600000, 1100, 1100, 250
1618809986.807000, 2.759282, 1.600000, 1.600000, -1, -1, 0
1618809987.319000, 2.767804, 1.600000, 1.600000, 1100, 1100, 250
1618809987.831000, 2.776342, 1.600000, 1.600000, -1, -1, 0
1618809988.346000, 2.784930, 1.600000, 1.600000, 1100, 1100, 250
1618809988.859000, 2.793474, 1.600000, 1.600000, -1, -1, 0
1618809989.374000, 2.802060, 1.600000, 1.600000, 1100, 1100, 250
1618809989.887000, 2.810603, 1.600000, 1.600000, -1, -1, 0
1618809990.397000, 2.819117, 1.600000, 1.600000, 1100, 1100, 250
1618809990.909000, 2.827648, 1.600000, 1.600000, -1, -1, 0
1618809991.426000, 2.836258, 1.600000, 1.600000, 1100, 1100, 250
1618809991.939000, 2.844818, 1.600000, 1.600000, -1, -1, 0
1618809992.452000, 2.853356, 1.600000, 1.600000, 1100, 1100, 250
1618809992.962000, 2.861867, 1.600000, 1.600000, -1, -1, 0
